epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
55,20977.5,0.1083,0.19059,0.01372,0.99867,0.99865,0.99463,0.97735,0.06621,0.15113,0.01179,7.327e-05,7.327e-05,7.327e-05
56,21358.8,0.10923,0.19321,0.01364,0.99868,0.99863,0.99463,0.97774,0.06569,0.14783,0.01157,7.2775e-05,7.2775e-05,7.2775e-05
57,21738.8,0.10866,0.19054,0.01394,0.99868,0.99865,0.99463,0.97506,0.06768,0.15699,0.01191,7.228e-05,7.228e-05,7.228e-05
58,22117.8,0.10507,0.1861,0.01343,0.99865,0.99871,0.99465,0.97758,0.06568,0.1566,0.0115,7.1785e-05,7.1785e-05,7.1785e-05
59,22497.4,0.10566,0.18719,0.01346,0.99878,0.99852,0.99466,0.97985,0.06396,0.17633,0.01121,7.129e-05,7.129e-05,7.129e-05
60,22876.8,0.1045,0.18596,0.01316,0.99879,0.99857,0.99467,0.98014,0.06283,0.16299,0.011,7.0795e-05,7.0795e-05,7.0795e-05
61,23257.5,0.10347,0.18354,0.01309,0.99885,0.99851,0.99467,0.9816,0.0615,0.18103,0.01094,7.03e-05,7.03e-05,7.03e-05
62,23637.1,0.10253,0.18372,0.01295,0.99879,0.99848,0.99466,0.98126,0.06131,0.17525,0.01089,6.9805e-05,6.9805e-05,6.9805e-05
63,24016.2,0.10127,0.182,0.01268,0.99872,0.99843,0.99465,0.98142,0.06132,0.16705,0.0109,6.931e-05,6.931e-05,6.931e-05
64,24393.8,0.10049,0.18102,0.01265,0.99868,0.99848,0.99466,0.98203,0.06088,0.16057,0.01081,6.8815e-05,6.8815e-05,6.8815e-05
65,24773.9,0.0996,0.17954,0.01259,0.99855,0.99846,0.99466,0.98219,0.06041,0.15157,0.0107,6.832e-05,6.832e-05,6.832e-05
66,25153.4,0.10044,0.18235,0.01286,0.99845,0.99847,0.99468,0.98204,0.06093,0.14378,0.01071,6.7825e-05,6.7825e-05,6.7825e-05
67,25533.1,0.09809,0.17854,0.0125,0.99882,0.99849,0.99466,0.98269,0.05993,0.15069,0.01055,6.733e-05,6.733e-05,6.733e-05
68,25913.1,0.09755,0.17915,0.01226,0.9985,0.99798,0.99466,0.98325,0.05958,3.23691,0.0105,6.6835e-05,6.6835e-05,6.6835e-05
69,26293.3,0.10121,0.18211,0.01294,0.99846,0.99825,0.99464,0.98278,0.05964,2.03759,0.01051,6.634e-05,6.634e-05,6.634e-05
70,26674.4,0.09939,0.18007,0.01263,0.99877,0.99833,0.99467,0.983,0.05953,0.97779,0.01056,6.5845e-05,6.5845e-05,6.5845e-05
71,27053.2,0.10013,0.18119,0.01283,0.99878,0.99836,0.99464,0.98317,0.05928,0.61501,0.01053,6.535e-05,6.535e-05,6.535e-05
72,27432.5,0.09813,0.17814,0.01238,0.99882,0.99847,0.99466,0.98334,0.05948,0.30007,0.01058,6.4855e-05,6.4855e-05,6.4855e-05
73,27813,0.0968,0.17748,0.01207,0.99888,0.99855,0.99468,0.98353,0.05893,0.25725,0.0105,6.436e-05,6.436e-05,6.436e-05
74,28194.1,0.09471,0.17432,0.01188,0.99876,0.9987,0.99471,0.98451,0.05847,0.1911,0.01043,6.3865e-05,6.3865e-05,6.3865e-05
75,28573.8,0.0939,0.17296,0.01184,0.99875,0.99871,0.99474,0.98465,0.05758,0.15843,0.01022,6.337e-05,6.337e-05,6.337e-05
76,28954.9,0.09571,0.17487,0.01221,0.99863,0.9987,0.99474,0.98475,0.05742,0.17172,0.0102,6.2875e-05,6.2875e-05,6.2875e-05
77,29335.2,0.0928,0.17149,0.01167,0.9986,0.99866,0.99477,0.9853,0.05645,0.13476,0.01002,6.238e-05,6.238e-05,6.238e-05
78,29715.2,0.0927,0.17166,0.01166,0.99865,0.99864,0.99475,0.98524,0.05653,0.1363,0.01001,6.1885e-05,6.1885e-05,6.1885e-05
79,30095.7,0.09177,0.17036,0.01157,0.99873,0.99858,0.99478,0.98541,0.05588,0.14044,0.00992,6.139e-05,6.139e-05,6.139e-05
80,30475.5,0.09105,0.16878,0.01148,0.99878,0.99859,0.99475,0.98585,0.05527,0.14762,0.0098,6.0895e-05,6.0895e-05,6.0895e-05
81,30856.1,0.08994,0.16738,0.01129,0.99883,0.99858,0.99474,0.98595,0.05505,0.14296,0.00975,6.04e-05,6.04e-05,6.04e-05
82,31235.3,0.08953,0.16772,0.01113,0.99876,0.99876,0.99471,0.98596,0.05518,0.14229,0.00975,5.9905e-05,5.9905e-05,5.9905e-05
83,31615.4,0.08993,0.1678,0.01127,0.99881,0.99874,0.99471,0.98645,0.05462,0.14239,0.00965,5.941e-05,5.941e-05,5.941e-05
84,31994.5,0.09035,0.16904,0.01147,0.99879,0.9988,0.99471,0.98654,0.05415,0.1493,0.00958,5.8915e-05,5.8915e-05,5.8915e-05
85,32374.1,0.09038,0.16889,0.01135,0.99872,0.99882,0.9947,0.98654,0.05432,0.15153,0.00961,5.842e-05,5.842e-05,5.842e-05
86,32754.2,0.08933,0.16661,0.01126,0.99878,0.9988,0.99474,0.98658,0.05475,0.14726,0.00966,5.7925e-05,5.7925e-05,5.7925e-05
87,33134.2,0.08714,0.16402,0.01101,0.99872,0.99883,0.99476,0.98659,0.05478,0.13703,0.0097,5.743e-05,5.743e-05,5.743e-05
88,33515.1,0.08795,0.16526,0.01114,0.99874,0.99874,0.99474,0.98662,0.05446,0.13722,0.0096,5.6935e-05,5.6935e-05,5.6935e-05
89,33895.1,0.08708,0.16462,0.01095,0.99877,0.99867,0.99475,0.9867,0.05409,0.13467,0.00954,5.644e-05,5.644e-05,5.644e-05
90,34275.5,0.0866,0.16281,0.01095,0.99888,0.99859,0.99477,0.98717,0.05366,0.13687,0.00945,5.5945e-05,5.5945e-05,5.5945e-05
91,34656.6,0.08634,0.16298,0.01075,0.99879,0.99867,0.99478,0.98725,0.0533,0.14034,0.0094,5.545e-05,5.545e-05,5.545e-05
92,35035.9,0.08586,0.16266,0.01075,0.99889,0.99851,0.9948,0.98734,0.05289,0.13085,0.00933,5.4955e-05,5.4955e-05,5.4955e-05
93,35415.6,0.08559,0.1624,0.01064,0.99895,0.99855,0.99481,0.98779,0.05244,0.12702,0.00927,5.446e-05,5.446e-05,5.446e-05
94,35793.8,0.08403,0.15999,0.0106,0.9989,0.99854,0.9948,0.98784,0.05208,0.12445,0.00922,5.3965e-05,5.3965e-05,5.3965e-05
95,36175,0.08446,0.16122,0.01046,0.99889,0.99854,0.99482,0.98831,0.05166,0.12435,0.00913,5.347e-05,5.347e-05,5.347e-05
96,36553.8,0.08237,0.15835,0.01017,0.9989,0.99859,0.99482,0.98837,0.05129,0.12391,0.00907,5.2975e-05,5.2975e-05,5.2975e-05
97,36934.1,0.0826,0.1587,0.01025,0.99888,0.99861,0.99481,0.98841,0.05097,0.12278,0.009,5.248e-05,5.248e-05,5.248e-05
98,37315,0.08266,0.15821,0.01054,0.99888,0.99859,0.99482,0.98845,0.05074,0.12467,0.00895,5.1985e-05,5.1985e-05,5.1985e-05
