epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,7616.19,0.34941,0.22417,0.80442,0.99825,0.99845,0.99445,0.98492,0.20361,0.1574,0.75765,0.004357,0.004357,0.004357
116,7682.78,0.34891,0.22456,0.80518,0.99824,0.99848,0.99445,0.98497,0.20308,0.15716,0.75756,0.0043075,0.0043075,0.0043075
117,7749.33,0.3489,0.22335,0.80407,0.99822,0.99848,0.99444,0.98504,0.20255,0.15687,0.75747,0.004258,0.004258,0.004258
118,7815.15,0.34549,0.22186,0.80377,0.99823,0.99849,0.99445,0.98509,0.20215,0.15681,0.75738,0.0042085,0.0042085,0.0042085
119,7881.16,0.34749,0.22283,0.8045,0.99822,0.99848,0.99445,0.98518,0.20182,0.15662,0.75732,0.004159,0.004159,0.004159
120,7946.99,0.34512,0.22163,0.80374,0.99818,0.99849,0.99445,0.98526,0.20161,0.15654,0.75728,0.0041095,0.0041095,0.0041095
121,8012.6,0.34425,0.22154,0.80388,0.99822,0.99847,0.99445,0.98532,0.20122,0.15641,0.75721,0.00406,0.00406,0.00406
122,8078.97,0.34633,0.22214,0.80425,0.99819,0.99846,0.99445,0.98536,0.20084,0.15637,0.75715,0.0040105,0.0040105,0.0040105
123,8145.12,0.34306,0.22169,0.80301,0.99819,0.9985,0.99446,0.98545,0.20054,0.15622,0.75707,0.003961,0.003961,0.003961
124,8210.97,0.34152,0.22033,0.80299,0.99821,0.99849,0.99446,0.98548,0.20022,0.15605,0.75703,0.0039115,0.0039115,0.0039115
125,8276.46,0.34171,0.22083,0.80326,0.99822,0.99849,0.99446,0.98564,0.19984,0.15588,0.75695,0.003862,0.003862,0.003862
126,8341.33,0.33655,0.21731,0.80183,0.99825,0.99848,0.99447,0.98574,0.19937,0.15567,0.75687,0.0038125,0.0038125,0.0038125
127,8407.59,0.33637,0.21785,0.80192,0.99828,0.99847,0.99447,0.98577,0.19897,0.15548,0.75678,0.003763,0.003763,0.003763
128,8473.81,0.33464,0.21767,0.80255,0.99829,0.99847,0.99447,0.9858,0.19861,0.15539,0.75672,0.0037135,0.0037135,0.0037135
129,8539.71,0.33533,0.21727,0.80251,0.99829,0.99849,0.99447,0.98584,0.19828,0.15523,0.75667,0.003664,0.003664,0.003664
130,8604.37,0.33354,0.217,0.80181,0.99831,0.99848,0.99447,0.98588,0.19789,0.15507,0.7566,0.0036145,0.0036145,0.0036145
131,8670.41,0.33391,0.21624,0.80107,0.99834,0.99845,0.99447,0.9859,0.19759,0.15496,0.75656,0.003565,0.003565,0.003565
132,8736.69,0.33262,0.21666,0.80198,0.99834,0.99846,0.99447,0.98593,0.1973,0.15483,0.7565,0.0035155,0.0035155,0.0035155
133,8802.26,0.33315,0.21731,0.80184,0.99836,0.99845,0.99447,0.98599,0.19707,0.15472,0.75648,0.003466,0.003466,0.003466
134,8867.36,0.33025,0.21498,0.80092,0.9984,0.99842,0.99447,0.98603,0.19679,0.15458,0.75644,0.0034165,0.0034165,0.0034165
135,8933.6,0.32912,0.21511,0.80144,0.9984,0.99842,0.99447,0.98607,0.19658,0.15453,0.75639,0.003367,0.003367,0.003367
136,8998.86,0.32618,0.21319,0.80122,0.9984,0.99843,0.99447,0.9861,0.19642,0.15447,0.75639,0.0033175,0.0033175,0.0033175
137,9064.13,0.32741,0.214,0.80026,0.99839,0.9984,0.99448,0.9861,0.19624,0.15438,0.75638,0.003268,0.003268,0.003268
138,9129.51,0.32776,0.21433,0.80042,0.99841,0.9984,0.99448,0.98615,0.19602,0.15424,0.75633,0.0032185,0.0032185,0.0032185
139,9195.68,0.32748,0.21441,0.7999,0.99841,0.9984,0.99447,0.98628,0.19585,0.15424,0.75631,0.003169,0.003169,0.003169
140,9261.87,0.32532,0.21388,0.80072,0.99841,0.9984,0.99447,0.9863,0.19573,0.15423,0.75629,0.0031195,0.0031195,0.0031195
141,9328.25,0.32249,0.21134,0.79981,0.99842,0.9984,0.99447,0.98634,0.19555,0.15416,0.75626,0.00307,0.00307,0.00307
142,9393.07,0.32117,0.2098,0.80026,0.99842,0.99842,0.99447,0.98639,0.19532,0.15411,0.75623,0.0030205,0.0030205,0.0030205
143,9459.33,0.32006,0.21088,0.79999,0.99843,0.99843,0.99447,0.9864,0.19514,0.15407,0.75621,0.002971,0.002971,0.002971
144,9525.2,0.32066,0.21045,0.79971,0.99843,0.99843,0.99447,0.98642,0.19492,0.154,0.75617,0.0029215,0.0029215,0.0029215
145,9590.52,0.31851,0.21016,0.79967,0.99844,0.99843,0.99447,0.98647,0.19473,0.15398,0.75613,0.002872,0.002872,0.002872
146,9655.14,0.31826,0.20969,0.79847,0.99845,0.99844,0.99447,0.9865,0.19451,0.15394,0.7561,0.0028225,0.0028225,0.0028225
147,9721.18,0.31654,0.20972,0.79902,0.99845,0.99845,0.99447,0.98652,0.1943,0.15382,0.75606,0.002773,0.002773,0.002773
148,9787.05,0.31668,0.20944,0.7988,0.99845,0.99845,0.99447,0.9866,0.19403,0.15371,0.75601,0.0027235,0.0027235,0.0027235
149,9853.3,0.31477,0.20783,0.79936,0.99844,0.99845,0.99447,0.98664,0.19388,0.15371,0.756,0.002674,0.002674,0.002674
150,9919.52,0.31289,0.20746,0.7982,0.99845,0.99845,0.99447,0.98669,0.19378,0.15371,0.75598,0.0026245,0.0026245,0.0026245
151,9986.02,0.31176,0.20684,0.79832,0.99846,0.99845,0.99447,0.98671,0.19353,0.15369,0.75595,0.002575,0.002575,0.002575
152,10052.8,0.31217,0.20734,0.79804,0.99846,0.99845,0.99447,0.98674,0.19342,0.15365,0.75595,0.0025255,0.0025255,0.0025255
153,10117.4,0.31058,0.20611,0.79847,0.99846,0.99845,0.99447,0.98674,0.19332,0.15363,0.75592,0.002476,0.002476,0.002476
154,10182.6,0.3089,0.20546,0.79785,0.99847,0.99845,0.99447,0.98673,0.19315,0.15355,0.75592,0.0024265,0.0024265,0.0024265
155,10248.1,0.30888,0.20568,0.79767,0.99847,0.99845,0.99447,0.98681,0.19309,0.15347,0.75592,0.002377,0.002377,0.002377
