epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1494.62,0.69674,0.42012,0.81967,0.93613,0.89835,0.93823,0.79591,0.51721,0.36652,0.80275,0.0092971,0.0092971,0.0092971
73,1515.38,0.70054,0.41925,0.81935,0.93484,0.89879,0.93884,0.79779,0.51594,0.36534,0.80086,0.0092872,0.0092872,0.0092872
74,1536.09,0.69844,0.41958,0.81922,0.92986,0.90083,0.93786,0.79757,0.51673,0.36517,0.80104,0.0092773,0.0092773,0.0092773
75,1556.59,0.69189,0.41741,0.81989,0.93743,0.89772,0.93826,0.79836,0.51477,0.36472,0.80182,0.0092674,0.0092674,0.0092674
76,1576.8,0.69553,0.41667,0.8197,0.93503,0.90075,0.93879,0.79716,0.51535,0.36528,0.80119,0.0092575,0.0092575,0.0092575
77,1597.71,0.69395,0.41673,0.8191,0.93743,0.89854,0.93948,0.79689,0.51997,0.36513,0.80189,0.0092476,0.0092476,0.0092476
78,1618.03,0.68999,0.4155,0.81788,0.93702,0.89844,0.93909,0.79931,0.50953,0.3621,0.80111,0.0092377,0.0092377,0.0092377
79,1638.8,0.68921,0.41641,0.81813,0.93783,0.89854,0.93879,0.79979,0.51016,0.36179,0.80101,0.0092278,0.0092278,0.0092278
80,1660.34,0.69719,0.41726,0.81851,0.93638,0.89967,0.93982,0.80034,0.51439,0.36062,0.80202,0.0092179,0.0092179,0.0092179
81,1681.42,0.69166,0.41306,0.81764,0.93855,0.89763,0.93973,0.8012,0.51128,0.36161,0.80094,0.009208,0.009208,0.009208
82,1702.33,0.69197,0.41635,0.81767,0.93371,0.90016,0.9392,0.80166,0.51018,0.36083,0.80087,0.0091981,0.0091981,0.0091981
83,1722.75,0.68827,0.41152,0.81777,0.93944,0.89914,0.93997,0.80127,0.51095,0.35978,0.80091,0.0091882,0.0091882,0.0091882
84,1744,0.68454,0.4127,0.81711,0.93691,0.90012,0.94023,0.80349,0.50602,0.3576,0.79966,0.0091783,0.0091783,0.0091783
85,1764.42,0.67915,0.40943,0.81715,0.93734,0.89587,0.93974,0.8021,0.51796,0.3606,0.80083,0.0091684,0.0091684,0.0091684
86,1786.02,0.68179,0.41191,0.81761,0.94081,0.89782,0.94056,0.80351,0.50719,0.35857,0.80014,0.0091585,0.0091585,0.0091585
87,1806.7,0.68405,0.41167,0.81732,0.93733,0.90098,0.9414,0.80629,0.50431,0.35581,0.79977,0.0091486,0.0091486,0.0091486
88,1827.04,0.67589,0.4146,0.81743,0.93728,0.90044,0.94114,0.80217,0.51021,0.35733,0.8009,0.0091387,0.0091387,0.0091387
89,1847.54,0.67899,0.40947,0.81625,0.93765,0.90345,0.94111,0.80391,0.50488,0.35577,0.80007,0.0091288,0.0091288,0.0091288
90,1868.14,0.68347,0.41026,0.81658,0.94121,0.89797,0.94166,0.80525,0.50503,0.35591,0.79984,0.0091189,0.0091189,0.0091189
91,1888.69,0.67745,0.40692,0.81582,0.93685,0.90207,0.94148,0.80592,0.50093,0.35505,0.79866,0.009109,0.009109,0.009109
92,1909.58,0.67398,0.41056,0.81684,0.94249,0.90029,0.94176,0.80624,0.50444,0.3534,0.79963,0.0090991,0.0090991,0.0090991
93,1930.65,0.6752,0.40812,0.81702,0.94435,0.898,0.94172,0.80672,0.50065,0.35378,0.79974,0.0090892,0.0090892,0.0090892
94,1951.39,0.67535,0.405,0.815,0.93661,0.90089,0.94111,0.80642,0.501,0.35438,0.79958,0.0090793,0.0090793,0.0090793
95,1971.92,0.6704,0.40303,0.81529,0.9423,0.90031,0.94168,0.80615,0.49783,0.35449,0.79819,0.0090694,0.0090694,0.0090694
96,1992.57,0.6678,0.40518,0.81574,0.94101,0.90098,0.94203,0.80902,0.4947,0.35078,0.7986,0.0090595,0.0090595,0.0090595
97,2013.54,0.66665,0.40237,0.81626,0.94267,0.89768,0.94244,0.80967,0.49857,0.35098,0.79989,0.0090496,0.0090496,0.0090496
98,2034.86,0.67266,0.40488,0.81517,0.93902,0.90015,0.94116,0.80523,0.49975,0.35412,0.79896,0.0090397,0.0090397,0.0090397
99,2055.45,0.65981,0.40288,0.81508,0.94208,0.89975,0.94149,0.80693,0.50028,0.35255,0.79927,0.0090298,0.0090298,0.0090298
100,2076.02,0.67548,0.40563,0.81601,0.938,0.90024,0.94071,0.80671,0.49969,0.35213,0.79945,0.0090199,0.0090199,0.0090199
101,2096.59,0.66816,0.40384,0.81539,0.93765,0.90305,0.94324,0.81177,0.49182,0.35031,0.79814,0.00901,0.00901,0.00901
102,2117.31,0.66843,0.40181,0.81601,0.9386,0.9033,0.94228,0.80825,0.49627,0.35153,0.79842,0.0090001,0.0090001,0.0090001
103,2137.94,0.66474,0.40065,0.81493,0.93785,0.90315,0.9417,0.80703,0.50049,0.35123,0.79925,0.0089902,0.0089902,0.0089902
104,2158.17,0.66547,0.40102,0.81504,0.94147,0.89997,0.94216,0.8095,0.49635,0.34872,0.79938,0.0089803,0.0089803,0.0089803
105,2178.69,0.66159,0.39995,0.81484,0.94352,0.90086,0.94391,0.81229,0.4936,0.34745,0.79848,0.0089704,0.0089704,0.0089704
106,2199.5,0.65801,0.39851,0.81556,0.9405,0.90184,0.94219,0.80683,0.5007,0.34972,0.79915,0.0089605,0.0089605,0.0089605
107,2220.42,0.66222,0.39931,0.81405,0.93863,0.90587,0.94317,0.8118,0.48976,0.34609,0.79782,0.0089506,0.0089506,0.0089506
108,2241.48,0.66265,0.39711,0.81381,0.9405,0.9047,0.94415,0.81284,0.49071,0.34614,0.79886,0.0089407,0.0089407,0.0089407
109,2262.09,0.65661,0.39808,0.81393,0.94084,0.90345,0.94383,0.81359,0.48853,0.34373,0.79867,0.0089308,0.0089308,0.0089308
110,2282.61,0.65937,0.39654,0.81454,0.94123,0.90321,0.94302,0.81176,0.49548,0.34738,0.7991,0.0089209,0.0089209,0.0089209
111,2303.17,0.65172,0.3948,0.81255,0.93815,0.9054,0.94298,0.81129,0.49115,0.34734,0.79766,0.008911,0.008911,0.008911
112,2323.38,0.65573,0.39572,0.8137,0.94422,0.89994,0.94398,0.81354,0.49175,0.34681,0.79871,0.0089011,0.0089011,0.0089011
113,2343.83,0.65714,0.39677,0.81346,0.94246,0.90141,0.94284,0.81122,0.49056,0.34631,0.79826,0.0088912,0.0088912,0.0088912
114,2364.08,0.65224,0.39516,0.81352,0.94074,0.90098,0.9421,0.81181,0.4904,0.34505,0.79839,0.0088813,0.0088813,0.0088813
115,2385.35,0.6543,0.3957,0.81279,0.94203,0.90308,0.94299,0.81146,0.4889,0.34543,0.79749,0.0088714,0.0088714,0.0088714
116,2406.3,0.65103,0.39624,0.81332,0.94297,0.90154,0.94336,0.8136,0.4875,0.34558,0.798,0.0088615,0.0088615,0.0088615
117,2427.38,0.65182,0.39509,0.81378,0.94364,0.90015,0.94278,0.81186,0.48985,0.3464,0.79775,0.0088516,0.0088516,0.0088516
118,2448.33,0.65017,0.39318,0.81314,0.94768,0.89921,0.9443,0.81519,0.49089,0.3444,0.79801,0.0088417,0.0088417,0.0088417
119,2468.89,0.65843,0.39715,0.81351,0.94447,0.9014,0.94389,0.81281,0.49184,0.34405,0.79854,0.0088318,0.0088318,0.0088318
120,2489.41,0.6501,0.3931,0.81259,0.9377,0.90571,0.94302,0.8138,0.48832,0.34506,0.79767,0.0088219,0.0088219,0.0088219
121,2509.89,0.64967,0.39142,0.81271,0.94269,0.90352,0.9443,0.81444,0.48447,0.34132,0.79705,0.008812,0.008812,0.008812
122,2531.53,0.65026,0.39227,0.8129,0.939,0.90428,0.94348,0.81244,0.48894,0.34394,0.79739,0.0088021,0.0088021,0.0088021
123,2551.87,0.64556,0.39664,0.81255,0.93832,0.90651,0.94343,0.81491,0.48734,0.34423,0.79702,0.0087922,0.0087922,0.0087922
124,2572.42,0.64994,0.39389,0.81299,0.9398,0.90632,0.94494,0.81602,0.48628,0.34062,0.79793,0.0087823,0.0087823,0.0087823
125,2593.19,0.64447,0.38863,0.8124,0.94155,0.90336,0.94344,0.81508,0.48317,0.34059,0.79695,0.0087724,0.0087724,0.0087724
126,2614.35,0.64638,0.38871,0.81267,0.94183,0.90527,0.94509,0.81772,0.48148,0.34081,0.79752,0.0087625,0.0087625,0.0087625
127,2634.88,0.64708,0.39166,0.81262,0.94217,0.90479,0.94512,0.81338,0.49113,0.34358,0.79843,0.0087526,0.0087526,0.0087526
128,2654.93,0.64476,0.39139,0.81212,0.94327,0.90336,0.94446,0.81836,0.47977,0.34055,0.79693,0.0087427,0.0087427,0.0087427
129,2675.81,0.64081,0.38894,0.81159,0.93867,0.90644,0.94402,0.8176,0.47891,0.33993,0.79692,0.0087328,0.0087328,0.0087328
130,2696.7,0.6413,0.3888,0.81166,0.94108,0.90479,0.94463,0.81725,0.4804,0.34,0.79703,0.0087229,0.0087229,0.0087229
131,2717.65,0.64367,0.39117,0.81162,0.94086,0.90481,0.94347,0.81499,0.48081,0.339,0.79686,0.008713,0.008713,0.008713
