epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
54,6739.62,0.41086,0.27968,0.06199,0.94689,0.86141,0.90928,0.79283,0.29164,0.27137,0.03767,9.4753e-05,9.4753e-05,9.4753e-05
55,6864.14,0.40823,0.27977,0.06186,0.94494,0.86858,0.9149,0.79792,0.28387,0.27108,0.0362,9.4654e-05,9.4654e-05,9.4654e-05
56,6987.52,0.40256,0.27879,0.06212,0.94779,0.86617,0.91537,0.79851,0.28362,0.27083,0.03504,9.4555e-05,9.4555e-05,9.4555e-05
57,7110.29,0.40411,0.28226,0.0637,0.94704,0.86071,0.90854,0.79482,0.29409,0.26812,0.04144,9.4456e-05,9.4456e-05,9.4456e-05
58,7236.41,0.40895,0.27927,0.0625,0.94524,0.85779,0.90791,0.79142,0.29419,0.27002,0.03844,9.4357e-05,9.4357e-05,9.4357e-05
59,7358.76,0.4045,0.28042,0.06149,0.94501,0.86557,0.9102,0.79672,0.28907,0.26618,0.04134,9.4258e-05,9.4258e-05,9.4258e-05
60,7484.38,0.40034,0.28087,0.05967,0.948,0.86613,0.91367,0.79981,0.2831,0.26643,0.03707,9.4159e-05,9.4159e-05,9.4159e-05
61,7609.43,0.40292,0.27798,0.06175,0.94914,0.86427,0.90987,0.79783,0.28268,0.26661,0.03388,9.406e-05,9.406e-05,9.406e-05
62,7731.92,0.39758,0.27812,0.06017,0.95065,0.86649,0.91523,0.79997,0.28199,0.26641,0.03889,9.3961e-05,9.3961e-05,9.3961e-05
63,7856.95,0.39864,0.27501,0.06373,0.95046,0.86338,0.91498,0.80223,0.27912,0.26336,0.03689,9.3862e-05,9.3862e-05,9.3862e-05
64,7979.5,0.39374,0.27716,0.06045,0.94566,0.86709,0.91123,0.80116,0.2802,0.26475,0.03582,9.3763e-05,9.3763e-05,9.3763e-05
65,8103.88,0.39575,0.27664,0.05892,0.94683,0.86725,0.91437,0.79989,0.28201,0.26803,0.03721,9.3664e-05,9.3664e-05,9.3664e-05
66,8228.93,0.40489,0.27655,0.06464,0.94699,0.86862,0.9146,0.79942,0.27988,0.27269,0.03548,9.3565e-05,9.3565e-05,9.3565e-05
67,8353.33,0.38811,0.27899,0.05575,0.95004,0.87083,0.91549,0.80561,0.27479,0.26428,0.0355,9.3466e-05,9.3466e-05,9.3466e-05
68,8474.7,0.39208,0.27702,0.06148,0.95103,0.86835,0.91506,0.8022,0.28068,0.26619,0.03967,9.3367e-05,9.3367e-05,9.3367e-05
69,8599.55,0.3921,0.27623,0.06196,0.94855,0.87465,0.91653,0.80545,0.27357,0.26366,0.03691,9.3268e-05,9.3268e-05,9.3268e-05
70,8725.32,0.38642,0.27617,0.05958,0.94719,0.87031,0.91533,0.80422,0.27644,0.26572,0.03942,9.3169e-05,9.3169e-05,9.3169e-05
71,8848.43,0.38892,0.27308,0.05864,0.94797,0.86969,0.91619,0.80589,0.27391,0.26389,0.03644,9.307e-05,9.307e-05,9.307e-05
72,8970.1,0.38347,0.2754,0.05678,0.95202,0.86519,0.91587,0.80785,0.27333,0.26224,0.03433,9.2971e-05,9.2971e-05,9.2971e-05
73,9094.15,0.38623,0.27647,0.05771,0.94955,0.87052,0.91586,0.80731,0.27552,0.26417,0.03702,9.2872e-05,9.2872e-05,9.2872e-05
74,9217.24,0.38552,0.27524,0.05794,0.94709,0.87179,0.91607,0.80672,0.2764,0.26407,0.03649,9.2773e-05,9.2773e-05,9.2773e-05
75,9337.97,0.37811,0.27721,0.05735,0.95156,0.87052,0.91724,0.81006,0.27191,0.25977,0.03647,9.2674e-05,9.2674e-05,9.2674e-05
